# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 4.440000e+03
# lRef       : 1.998074e+00
# Aref       : 1.998074e-02
# CofR       : (1.500000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
0.007000222965	-1.901415e-01	7.956640e-01	7.305769e-03	-1.864886e-01	1.937943e-01
0.007000445931	-1.901413e-01	7.956634e-01	7.305842e-03	-1.864884e-01	1.937942e-01
0.007000668896	-1.901411e-01	7.956628e-01	7.305916e-03	-1.864882e-01	1.937941e-01
0.007000891862	-1.901410e-01	7.956623e-01	7.305990e-03	-1.864880e-01	1.937940e-01
0.007001114827	-1.901408e-01	7.956618e-01	7.306064e-03	-1.864878e-01	1.937938e-01
0.007001337793	-1.901406e-01	7.956612e-01	7.306138e-03	-1.864876e-01	1.937937e-01
0.007001560758	-1.901405e-01	7.956607e-01	7.306213e-03	-1.864874e-01	1.937936e-01
0.007001783724	-1.901403e-01	7.956602e-01	7.306288e-03	-1.864872e-01	1.937935e-01
0.007002006689	-1.901402e-01	7.956597e-01	7.306363e-03	-1.864870e-01	1.937934e-01
0.007002229654	-1.901401e-01	7.956592e-01	7.306437e-03	-1.864868e-01	1.937933e-01
0.00700245262	-1.901399e-01	7.956587e-01	7.306512e-03	-1.864867e-01	1.937932e-01
0.007002675585	-1.901398e-01	7.956582e-01	7.306587e-03	-1.864865e-01	1.937931e-01
0.007002898551	-1.901396e-01	7.956577e-01	7.306662e-03	-1.864863e-01	1.937930e-01
0.007003121516	-1.901395e-01	7.956573e-01	7.306736e-03	-1.864861e-01	1.937929e-01
0.007003344482	-1.901394e-01	7.956568e-01	7.306811e-03	-1.864860e-01	1.937928e-01
0.007003567447	-1.901392e-01	7.956563e-01	7.306885e-03	-1.864858e-01	1.937927e-01
0.007003790412	-1.901391e-01	7.956558e-01	7.306960e-03	-1.864856e-01	1.937926e-01
0.007004013378	-1.901390e-01	7.956553e-01	7.307034e-03	-1.864854e-01	1.937925e-01
0.007004236343	-1.901388e-01	7.956548e-01	7.307109e-03	-1.864853e-01	1.937924e-01
0.007004459309	-1.901387e-01	7.956544e-01	7.307183e-03	-1.864851e-01	1.937923e-01
0.007004682274	-1.901386e-01	7.956539e-01	7.307258e-03	-1.864849e-01	1.937922e-01
0.00700490524	-1.901384e-01	7.956534e-01	7.307332e-03	-1.864848e-01	1.937921e-01
0.007005128205	-1.901383e-01	7.956529e-01	7.307406e-03	-1.864846e-01	1.937920e-01
0.007005351171	-1.901382e-01	7.956524e-01	7.307481e-03	-1.864844e-01	1.937919e-01
0.007005574136	-1.901380e-01	7.956519e-01	7.307555e-03	-1.864843e-01	1.937918e-01
0.007005797101	-1.901379e-01	7.956514e-01	7.307630e-03	-1.864841e-01	1.937917e-01
0.007006020067	-1.901378e-01	7.956509e-01	7.307704e-03	-1.864839e-01	1.937916e-01
0.007006243032	-1.901376e-01	7.956504e-01	7.307778e-03	-1.864837e-01	1.937915e-01
0.007006465998	-1.901375e-01	7.956499e-01	7.307853e-03	-1.864836e-01	1.937914e-01
0.007006688963	-1.901373e-01	7.956493e-01	7.307927e-03	-1.864834e-01	1.937913e-01
0.007006911929	-1.901372e-01	7.956488e-01	7.308001e-03	-1.864832e-01	1.937912e-01
0.007007134894	-1.901371e-01	7.956483e-01	7.308075e-03	-1.864830e-01	1.937911e-01
0.00700735786	-1.901369e-01	7.956477e-01	7.308149e-03	-1.864828e-01	1.937910e-01
0.007007580825	-1.901368e-01	7.956472e-01	7.308223e-03	-1.864827e-01	1.937909e-01
0.00700780379	-1.901366e-01	7.956467e-01	7.308297e-03	-1.864825e-01	1.937908e-01
0.007008026756	-1.901365e-01	7.956461e-01	7.308371e-03	-1.864823e-01	1.937907e-01
0.007008249721	-1.901363e-01	7.956455e-01	7.308445e-03	-1.864821e-01	1.937906e-01
0.007008472687	-1.901362e-01	7.956450e-01	7.308519e-03	-1.864819e-01	1.937905e-01
0.007008695652	-1.901361e-01	7.956444e-01	7.308593e-03	-1.864818e-01	1.937904e-01
0.007008918618	-1.901359e-01	7.956439e-01	7.308667e-03	-1.864816e-01	1.937903e-01
0.007009141583	-1.901358e-01	7.956433e-01	7.308741e-03	-1.864814e-01	1.937901e-01
0.007009364548	-1.901356e-01	7.956427e-01	7.308814e-03	-1.864812e-01	1.937900e-01
0.007009587514	-1.901355e-01	7.956422e-01	7.308888e-03	-1.864810e-01	1.937899e-01
0.007009810479	-1.901353e-01	7.956416e-01	7.308962e-03	-1.864809e-01	1.937898e-01
0.007010033445	-1.901352e-01	7.956410e-01	7.309035e-03	-1.864807e-01	1.937897e-01
0.00701025641	-1.901351e-01	7.956405e-01	7.309109e-03	-1.864805e-01	1.937896e-01
0.007010479376	-1.901349e-01	7.956399e-01	7.309183e-03	-1.864803e-01	1.937895e-01
0.007010702341	-1.901348e-01	7.956393e-01	7.309256e-03	-1.864802e-01	1.937894e-01
0.007010925307	-1.901346e-01	7.956388e-01	7.309330e-03	-1.864800e-01	1.937893e-01
0.007011148272	-1.901345e-01	7.956382e-01	7.309403e-03	-1.864798e-01	1.937892e-01
0.007011371237	-1.901344e-01	7.956376e-01	7.309477e-03	-1.864796e-01	1.937891e-01
0.007011594203	-1.901342e-01	7.956370e-01	7.309550e-03	-1.864795e-01	1.937890e-01
0.007011817168	-1.901341e-01	7.956365e-01	7.309624e-03	-1.864793e-01	1.937889e-01
0.007012040134	-1.901340e-01	7.956359e-01	7.309697e-03	-1.864791e-01	1.937888e-01
0.007012263099	-1.901338e-01	7.956353e-01	7.309771e-03	-1.864789e-01	1.937887e-01
0.007012486065	-1.901337e-01	7.956347e-01	7.309844e-03	-1.864788e-01	1.937886e-01
0.00701270903	-1.901335e-01	7.956341e-01	7.309917e-03	-1.864786e-01	1.937885e-01
