# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 4.440000e+03
# lRef       : 1.998074e+00
# Aref       : 1.998074e-02
# CofR       : (1.500000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
0.008000230415	-2.061926e-01	8.548253e-01	6.367804e-03	-2.030087e-01	2.093765e-01
0.008000460829	-2.061933e-01	8.548293e-01	6.367893e-03	-2.030093e-01	2.093772e-01
0.008000691244	-2.061930e-01	8.548293e-01	6.367984e-03	-2.030090e-01	2.093770e-01
0.008000921659	-2.061924e-01	8.548279e-01	6.368077e-03	-2.030084e-01	2.093765e-01
0.008001152074	-2.061917e-01	8.548261e-01	6.368171e-03	-2.030077e-01	2.093758e-01
0.008001382488	-2.061911e-01	8.548244e-01	6.368266e-03	-2.030069e-01	2.093752e-01
0.008001612903	-2.061905e-01	8.548231e-01	6.368362e-03	-2.030063e-01	2.093746e-01
0.008001843318	-2.061899e-01	8.548222e-01	6.368457e-03	-2.030057e-01	2.093741e-01
0.008002073733	-2.061895e-01	8.548216e-01	6.368551e-03	-2.030052e-01	2.093737e-01
0.008002304147	-2.061891e-01	8.548215e-01	6.368645e-03	-2.030048e-01	2.093734e-01
0.008002534562	-2.061888e-01	8.548218e-01	6.368737e-03	-2.030045e-01	2.093732e-01
0.008002764977	-2.061887e-01	8.548225e-01	6.368828e-03	-2.030042e-01	2.093731e-01
0.008002995392	-2.061886e-01	8.548236e-01	6.368919e-03	-2.030041e-01	2.093731e-01
0.008003225806	-2.061887e-01	8.548251e-01	6.369010e-03	-2.030042e-01	2.093732e-01
0.008003456221	-2.061889e-01	8.548271e-01	6.369100e-03	-2.030043e-01	2.093734e-01
0.008003686636	-2.061892e-01	8.548296e-01	6.369192e-03	-2.030046e-01	2.093738e-01
